title,volume,year,floor,row,section,notes
Acta Psychologica,1-49,1935-81,Woerishoffer Hall,,,
Acta Psychotherapeutica,1-12,1953-64,Woerishoffer Hall,,,
Acta Radiologica,v1-32,1921-49,4th Floor,Row V,,
Acta Radiologica (stockholm),33-58,1950-62,Woerishoffer Hall,,,
Acta Radiologica (stockholm/copenhagen),28-41,1987-2000,Woerishoffer Hall,,,
Acta Radiologica et Cancerologica Bohemo-Slovenica,"v1-2, 4-5",1938-39; 1949-51,4th Floor,Row V,,
Acta Radiologica Interamericana,2-7,1952-57,Woerishoffer Hall,,,gaps
"Acta Radiologica, Oncology, Radiation Physics, Biology",17-18,1978-79,Woerishoffer Hall,,,
Acta Radiologica. Diagnosis (new series),1-27,1963-86,Woerishoffer Hall,,,
Acta Radiologica. Oncology,19-25,1980-86,Woerishoffer Hall,,,
Acta Radiologica. Supplementum,76-421,1949-99,Woerishoffer Hall,,,
"Acta Radiologica. Therapy, Physics, Biology (New Series)",1-16,1963-77,Woerishoffer Hall,,,
Acta Reumatologica Latinoamericana,1,1958,Woerishoffer Hall,,,
Acta Rheumatica,v1,1929,4th Floor,Row V,,
Acta Rheumatologica,v1-11,1929-39,4th Floor,Row V,,
Acta Rheumatologica et Balneologica Pistiniana,1-6,1966-71,Woerishoffer Hall,,,
Acta Rheumatologica Scandinavica,1-17,1955-71,Woerishoffer Hall,,,
Acta Rheumatologica Scandinavica. Supplement,1-16,1958-71,Woerishoffer Hall,,,
Acta Rhumatologica,3-5,1979-81,Woerishoffer Hall,,,
Acta Rhumatologica Belgica,1-2,1977-78,Woerishoffer Hall,,,
Acta Salmanticensia,v1,1945-47,4th Floor,Row V,,
Acta Scholae Medicinalis Universitatis Imperials in Kioto,v1-25,1916-46,4th Floor,Row V,,
Acta Scholae Universitatis in Kioto,27-40,1949-70,Woerishoffer Hall,,,
Acta Societatis Medicorum Fennicae Duodecim,v1-33,1919-43,4th Floor,Row V,,
Acta Societatis Medicorum Upsaliensis,v63-64,1948-49,4th Floor,Row V,,
Acta Societatis Medicorum Upsaliensis,55-76,1950-71,Woerishoffer Hall,,,
Acta Societatis Ophthalmologica Japonicae,59-94,1955-90,Woerishoffer Hall,,,
Acta Societatis Ophthalmologicae Japonicae. Tokyo,v. 34-52,1930-48,4th Floor,Row V,,
Acta Societatis Scientiarum Fennica. B. Opera Biologica,2,1938-57,Woerishoffer Hall,,,
Acta Societatis Scientiarum Fennicae Nova Series B Opera Biologica,v1,1931-38,4th Floor,Row V,,
Acta Stomatologica Belgica,57-78,1960-81,Woerishoffer Hall,,,
Acta Thermographica,1-7,1976-82,Woerishoffer Hall,,,
Acta Tropica,1-47,1944-90,Woerishoffer Hall,,,
Acta Tropica. Supplementum (shelved with main volumes),1-12,1948-87,Woerishoffer Hall,,,
Acta Tuberculosea Belgica,41-49,1950-58,Woerishoffer Hall,,,
Acta Tuberculosea et Pneumologica Belgica,39-70,1948-79,Woerishoffer Hall,,,
Acta Tuberculosea et Pneumologica Scandinavica,41-46,1961-65,Woerishoffer Hall,,,
Acta Tuberculosea et Pneumologica Scandinavica. Supplement,52-61,1962-65,Woerishoffer Hall,,,
Acta Tuberculosea Japonica,1-16,1951-66,Woerishoffer Hall,,,
Acta Tuberculosea Scandinavica,24-40,1950-61,Woerishoffer Hall,,,
Acta Tuberculosea Scandinavica. Supplementum,19-50,1949-60,Woerishoffer Hall,,,
Acta Tuberculosis Scandinavica,v1-23,1925-49,4th Floor,Row V,,
Acta Universitatis Carolinae. Medica,4-36,1958-90,Woerishoffer Hall,,,
Acta Universitatis Carolinae. Medica. Monographia,3-139,1956-90,Woerishoffer Hall,,,
Acta Universitatis Carolinae. Medica. Supplementum,1-21,1955-65,Woerishoffer Hall,,,
Acta Universitatis Palackianae Olomucensis,2-23,1955-61,Woerishoffer Hall,,,
Acta Universitatis Palackianae Olomucensis Facultatis Medicae,24-123,1961-89,Woerishoffer Hall,,,
Acta Urologica Belgica,23-66,1955-98,Woerishoffer Hall,,,
Acta Virologica. English Edition,1-34,1957-90,Woerishoffer Hall,,,
Acta Vitaminologica,1-20,1947-66,Woerishoffer Hall,,,
Acta Vitaminologica et Enzymologica,21-32,1967-78,Woerishoffer Hall,,,
Acta Vitaminologica et Enzymologica. New Series.,1-7,1979-85,Woerishoffer Hall,,,
Acta Y Trabajos Congreso Nacional de Medicina (Republica Argentina),v1-6,1922-34,4th Floor,Row V,,
Acta/Unio Internationalis Contra Cancrum,1-20,1938-64,Woerishoffer Hall,,,
Actas del Congreso Argentino de Cirugia Estetrica,1,1972-74,Woerishoffer Hall,,,
Actas Dermo-Sifiliograficas,41-81,1949-90,Woerishoffer Hall,,,gaps
Actas do Congresso Nacional de Anatomia Patologica,1,1968,Woerishoffer Hall,,,
Actas Luso-Espanolas de Neurologia Psiquiatria y Ciencias Afines,1-14,1972-86,Woerishoffer Hall,,,
Actas Luso-Espanolas de Neurologia y Psiquiatria,1-30,1940-71,Woerishoffer Hall,,,
Actas Y Trabajos de la Jornada Sanitaria,v3,1940,4th Floor,Row V,,
Actas Y Trabajos del Congreso Nacional de Puericultura,v1-2,1940,4th Floor,Row V,,
Actas Y Trabajos primer congreso nacional de cirugia,v2-3,1930,4th Floor,Row V,,
"Actas Y Trabajos, Exposicion Cientifica Conferencia Anticancerosa del Uruguay",v1pt.1-2,1930,4th Floor,Row V,,
Actes de la Societe Medicale des Hopitaux de Paris,v1-6,1850-64,4th Floor,Row V,,
Actes du Symposium de la Fondation Valentino Baldacci,1-3,1955-60,Woerishoffer Hall,,,
Action Medicale,26-42,1950-66,7th Floor,Row U,,
Activitas Nervosa Superior,3-32,1961-90,7th Floor,Row U,,
Activitite Scientifique et Medicale,,1934-35,1st Floor,Raw L,,
Actualidad Medica,v19-25,1943-49,4th Floor,Row V,,
Actualidad Medica,26-32,1950-56,7th Floor,Row U,,
Actualidad Medica Peruana,v2-13,1936-48,4th Floor,Row V,,
Actualidad Medica Peruana,14-19,1948-53,7th Floor,Row U,,
Actualidad Pediatrica,1-12,1952-57,7th Floor,Row U,,
Actualidades Cientificas,1,1960,7th Floor,Row U,,
Actualite Rhumatologique,4-15,1967-78,7th Floor,Row U,,
Actualites Biochimiques,v1-12,1945-47,4th Floor,Row V,,
Actualites Biochimiques,13-21,1949-62,7th Floor,Row U,,
Actualites Cardiologiques et Angeiologiques Internationales,2-16,1950-67,7th Floor,Row U,,
Actualites Cardio-Vasculaires Medico-Chirurgicales,'1-9,1964-78,7th Floor,Row U,,
Actualites de chirurgie orthopedique de l'hopital Raymond-Poincare,1-11,1962-1978,7th Floor,Row U,,
Actualites de medicine et de chirurgie du pied,8-9,1971-1975,7th Floor,Row U,,
Actualites Endocrinologiques,7,1966,7th Floor,Row U,,
Actualites Gynecologiques,1-2,1953-56,7th Floor,Row U,,
Actualites Hematologiques,1-20,1967-86,7th Floor,Row U,,
Actualites Metaboliques en Pediatrie,1-4,1967-71,7th Floor,Row U,,
Actualites Nephrologiques de l Hopital Necker,N/A,1960-74,7th Floor,Row U,,
Actualites Neurophysiologiques,1-10,1959-74,7th Floor,Row U,,
Actualities de Therapeutique Psychiatrique,1-3,1963-72,7th Floor,Row U,,
Actualities Oto-Rhino-Laryngologiques,1-7,1948-56,7th Floor,Row U,,
Actualities Pediatriques,5,1963-1966,7th Floor,Row U,,
Actualities Pharmacologiques,1-39,1949-86,7th Floor,Row U,,
Actualizaciones,"1-8,18","1962-64,66",7th Floor,Row U,,
Actuelle Chirurgie,1-8,1966-73,7th Floor,Row U,,
Acuff Clinic Bulletin,1-3,1949-52,7th Floor,Row U,,
Acupuncture and Electro-Therapeutics Research,11-13,1986-88,7th Floor,Row U,,
Acute Care,10-15,1983-89,7th Floor,Row U,,
Adams County Society Medical Bulletin,v1,1924,4th Floor,Row V,,
Addiction (supplements bound with),88-100,1993-2006,7th Floor,Row U,,
Addictions,21-24,1974-77,7th Floor,Row U,,
Addictive Behaviors,1-31,1975-2006,7th Floor,Row U                            Ending North End,,
Addresses Papers and discussions in the section of Obstetrics and Diseases of Women,42nd ann mtg,1891-,4th Floor,Row V,,
"Addresses, Papers and discussions in the section on State Medicine..","45th, 47th ann mtg",1894;1896,4th Floor,Row V,,
Administration and Policy in Mental Health,16-21,1988-94,7th Floor,Row T,,
Administration in Mental Health,1-15,1972-88,7th Floor,Row T,,Starting North End
Administration Locale,,1927-39,4th Floor,Row V,,
Administrative Science Quarterly,45,2000,7th Floor,Row T,,
Adolescence,1-16,1966-81,7th Floor,Row T,,
Adolescent and Pediatric Gynecology,1-8,1988-95,7th Floor,Row T,,
Adolescent Medicine,1-2,,7th Floor,Row T,,
Adolescent Psychiatry,1-25,1974-2000,7th Floor,Row T,,
Advance Data From Vital and Health Statistics of the National Center for Health Statistics,1-207,1976-91,7th Floor,Row T,,
Advance Medical,3-6,,3rd Floor,Row K,,
Advanced Medicine,13-24,1977-88,7th Floor,Row T,,
Advanced Medicine: Topics in Therapeutics,1-3,1975-77,7th Floor,Row T,,
Advancement of Science,6-25,1949-69,7th Floor,Row T,,
"Advancement of Science, British Assoc for the Advancement of Science",v1-5,1939-49,4th Floor,Row V,,
Advances in Acarology,1-2,1963-65,7th Floor,Row T,,
Advances in Alcohol and Substance Abuse,1-9,1981-90,7th Floor,Row T,,
"Advances in Anatomy, Embryology and Cell biology",47-121,1973-91,7th Floor,Row T,,
Advances in Applied Microbiology,1-36,1959-91,7th Floor,Row T,,
Advances in Behavior Therapy,1-4,1968-73,7th Floor,Row T,,
Advances in Biochemical Psychopharmacology,1-46,1969-90,7th Floor,Row T,,
Advances in Biological and Medical Physics,v1,1948,4th Floor,Row V,,
Advances in Biology of the Skin,1-12,1960-72,7th Floor,Row T,,
Advances in Cancer Chemotherapy,1,1979,7th Floor,Row T,,
Advances in Cancer Research,1-56,1953-91,7th Floor,Row T,,
Advances in Cardiology,4-39,1970-2002,7th Floor,Row T,,
Advances in Cardiopulmonary Diseases,1-4,1963-69,7th Floor,Row T,,
Advances in Catalysis,5-23,1953-73,7th Floor,Row T,,
Advances in Cell and Molecular Biology,1-3,1971-74,7th Floor,Row T,,
Advances in Cell Biology,1-2,1970-71,7th Floor,Row T,,
Advances in Chemoreception,1,1970,7th Floor,Row T,,
Advances in Chemotherapy,1-3,1964-68,7th Floor,Row T,,
Advances in Child Development and Behavior,1-22,1963-89,7th Floor,Row T,,
Advances in Clinical Chemistry,1-28,1958-90,7th Floor,Row T,,
Advances in Clinical Pharmacology,13-18,1977-78,7th Floor,Row T,,
Advances in Colloid Science,v1-2,1942; 1946,4th Floor,Row V,,
Advances in Colloid Science,3,1950?,7th Floor,Row T,,
Advances in Comparative Physiology and Biochemistry,1-8,1962-82,7th Floor,Row T,,
Advances in Contraception,1-15,1985-99,7th Floor,Row T,,
Advances in Contraceptive Delivery Systems,1-13,1985-97,7th Floor,Row T,,
Advances in environmental science and technology,1-11,1969-1981,7th Floor,Row I,,
Advances in Fluorine Chemistry,1-7,1960-73,7th Floor,Row T,,
Advances in Food and Nutrition Research,33-34,1989-90,7th Floor,Row T,,
Advances in Food Research,v1-3,1948-51,4th Floor,Row V,,
Advances in Food Research,4-32,1953-98,7th Floor,Row T,,
Advances in Food Research. Supplement,1-4,1969-80,7th Floor,Row T,,
Advances in Free Radical Biology and Medicine (laid on top of food and nutrition research),1-2,1985-86,7th Floor,Row T,,
Advances in Genetics,v1-2,1947-48,4th Floor,Row V,,
Advances in Genetics,3-28,1950-90,7th Floor,Row T,,
Advances in Gerontological Research,1-4,1964-72,7th Floor,Row T,,
Advances in Heart Disease,1-3,1977-80,7th Floor,Row T,,
Advances in Human Genetics,1-21,1970-93,7th Floor,Row T,,
Advances in Immunology,1-49,1961-91,7th Floor,Row T,,
Advances in Internal Medicine,v1-3,1942;1947;1949,4th Floor,Row V,,
Advances in Internal Medicine,4-46,1950-2001?,7th Floor,Row T,,
Advances in Lipid Research,1-23,1963-89,7th Floor,Row T,,
Advances in Mental Science,1-4,1969-71,7th Floor,Row T,,
Advances in Metabolic Disorders,1-11,1964-88,7th Floor,Row T,,
Advances in Microcirculation,1-13,1968-87,7th Floor,Row T,,
Advances in Morphogenesis,1-10,1961-73,7th Floor,Row T,,
Advances in Myocardiology,1-6,1980-85,7th Floor,Row T,,
Advances in Nephrology (from the Necker Hospital),1-21,1971-92,7th Floor,Row T,,
Advances in Neurochemistry,1-6,1975-84,7th Floor,Row T,,
Advances in Neurological Sciences,11-34,1967-90,7th Floor,Row T,,
Advances in Nutritional Research,1-10,1977-2001,7th Floor,Row T,,
Advances in Obstetrics and Gynecology,1,1967,7th Floor,Row T,,
Advances in Ophthalmology,21-42,1969-81,7th Floor,Row T,,
Advances in Optical and Electron Microscopy,1-7,1966-78,7th Floor,Row T,,
Advances in Oral Biology,1-4,1964-70,7th Floor,Row T,,
Advances in Oto-Rhino-Laryngology,17-46,1970-91,7th Floor,Row T,,
Advances in Pain Research and Therapy,1-22,1976-95,7th Floor,Row T,,
Advances in Parasitology,1-30,1963-91,7th Floor,Row T,,
Advances in Pediatrics,v1-4,1942-49,4th Floor,Row V,,
Advances in Pediatrics,5-38,1962-91,7th Floor,Row T,,
Advances in Perinatal Neurology,1,1979,7th Floor,Row T,,
Advances in Pharmaceutical Sciences,1-5,1964-82,7th Floor,Row T,,
Advances in Pharmacology,1-6,1962-68,7th Floor,Row T,,
Advances in Pharmacology,21,1990,7th Floor,Row T,,
Advances in Pharmacology and Chemotherapy,7-20,1969-84,7th Floor,Row T,,
Advances in Planned Parenthood,1-13,1964-78,7th Floor,Row T,,
Advances in Primatology,1,1970,7th Floor,Row T,,
Advances in Protein Chemistry,v1-4,1944-48,4th Floor,Row V,,
Advances in Psychobiology,1-3,1972-76,7th Floor,Row T,,
Advances in Psychosomatic Medicine,6-20,1972-90,7th Floor,Row T,,
Advances in Radiation Biology,1-14,1964-90,7th Floor,Row T,,
Advances in Reproductive Physiology,1-6,1966-73,7th Floor,Row T,,
Advances in Second Messenger and Phosphoprotein Research,21-24,1988-90,7th Floor,Row T,,
Advances in Serials Management,1-3,1986-89,7th Floor,Row T,,
Advances in Sex Hormone Research,1-4,1975-80,7th Floor,Row T,,
Advances in Sleep Research,1-8,1974-83,7th Floor,Row T,,
Advances in Space Science,1-2,1959-60,7th Floor,Row T,,
Advances in Space Science and Technology,3-4,1961-62,7th Floor,Row T,,
Advances in Space Science and Technology. Supplement,1,1963,7th Floor,Row T,,
Advances in Steroid Biochemistry and Pharmacology,1-7,1970-79,7th Floor,Row T,,
Advances in Substance Abuse (Behavioral and Biological Research),1-4,1980-91,7th Floor,Row T,,
Advances in Substance Abuse (Behavioral and Biological Research). Supplement,1,1987,7th Floor,Row T,,
Advances in Surgery,v1-2,1949,4th Floor,Row V,,
Advances in Surgery,1-24,1965-91,7th Floor,Row T,,
Advances in Teratology,1-5,1966-72,7th Floor,Row T,,
Advances in Thanatology,4,1980,7th Floor,Row T,,
Advances in the Management of Clinical Heart Disease,1-4,1976-80,7th Floor,Row T,,
Advances in Tuberculosis Research,12-22,1963-85,7th Floor,Row T,,
Advances in Veterinary Science,1-12,1953-68,7th Floor,Row T,,
Advances in Veterinary Science and Comparative Medicine,13-22,1969-78,7th Floor,Row T,,
Advances in Virus Research,1-39,1953-78,7th Floor,Row T,,
Adverse Reactions Titles,7-8,1972-73,7th Floor,Row T,,
Aeromedica Acta,5-9,1956-64,7th Floor,Row T,,
Aerospace Medicine,30-45,1959-74,7th Floor,Row T,,
Aerzteblatt fur wurttemberg und Baden,v1-6,1934-39,4th Floor,Row V,,
Aerztliche Forschung,v1-3,1947-49,4th Floor,Row V,,
Aerztliche Mitteilungen,"46, n32",1961,7th Floor,Row T,,
Aerztliche Monatschrift,,1898-1902,4th Floor,Row V,,
Aerztliche Monatshefte,v1-5,1945-49,4th Floor,Row V,,
Aerztliche Monatsschrift,,1925-29,4th Floor,Row V,,
Aerztliche Praxis,v11-19,1898-1906,4th Floor,Row V,,
Aerztliche Praxis,v1-15,1927-41,4th Floor,Row V,,
Aerztliche Rundschau,v2-46,1892-1936,4th Floor,Row V,,
Aerztliche Sachverstandigen-Zeitung,v1-49,1895-1944,4th Floor,Row V,,
Aerztliche Wochenschrift,v1-4,1946-49,4th Floor,Row V,,
Aerztliche Zentralzeitung,v12-23,1900-1911,4th Floor,Row V,,
Aerztlicher Bericht des (k.k.) Krankenhauses in Wien,,1855-91,4th Floor,Row V,,
Aerztlicher Bericht k.k. Gebar und Findelhauses,,1857-66,4th Floor,Row V,,
Aerztlicher Bericht Privat-Heil-Anstalt,,1868-89,4th Floor,Row V,,
Aerztlicher Central-Anzeiger Fur Deutschlin,v1-4;30-31,1886-89;1915-16,4th Floor,Row V,,
Aerztlicher Zentral Anzeiger,v6-37,1890-1922,4th Floor,Row V,,
Aerztliches Intelligenz-Blatt,v1-32,1854-85,4th Floor,Row V,,
Aesculapian,38-49,1947-59,7th Floor,Row T,,
Aesculapian,v1;5;v28-31,1884;1895; 1938-41,4th Floor,Row V,,
"Aesculapian, North Side Branch Chicago Medical Society",v32-37,1941-47,4th Floor,Row V,,
"Aesculapian, Register",,1824,4th Floor,Row V,,
Aeskulap eine Zeitschrift der Vervollkommnung der Heilkunde…,,1821; 1832,4th Floor,Row V,,
Aesthetica,1-5,1958-73,7th Floor,Row T,,
Afriaue Francaise Chirurgicale,,1947-49,4th Floor,Row V,,
Africa Medica,v1-13,1935-47,4th Floor,Row V,,
African Journal of Medicine and Medical Sciences,19-20,1990-91,7th Floor,Row T,,
Afrique Francaise Chirurgicale,?-19,1950-61,7th Floor,Row T,,
Afrique Medicale,3-30,1964-91,7th Floor,Row T,,
AG5 W228 1913 - BF 181 B76 1968,,,7th Floor,Row F,,ends south end
Age and Ageing,7-34,1978-2005,7th Floor,Row T,,
Agents and Actions,1-43,1969-94,7th Floor,Row T,,
Agents and Actions. Supplements.,4-49,1979-97,7th Floor,Row T,,
Aggiornamenti Clinicoterapeutici,1-12,1960-71,7th Floor,Row T,,
Aggiornamenti Clinicoterapeutici Collana Monografica Trimestrale,15,1974,7th Floor,Row T,,
Aggiornamenti di Terapia Oftalmologica,"9, 13","1957, 1961",7th Floor,Row T,,
Aggiornamenti in Cardioreumatologia,4,1959,7th Floor,Row T,,
Aggiornamenti in Ostetricia e Ginecologia,2-11,1969-78,7th Floor,Row T,,
Aggiornamenti Sulle Malattie da Infezione,1-6,1955-60,7th Floor,Row T,,
Aggiornamenti Sulle Malattie da Infezione,7,1961,7th Floor,Row T,,
Aging,1-42,1951-58,7th Floor,Row T,,
Aging Immunology and Infectious Disease,1-6,1988-96,7th Floor,Row T,,
Agressologie,1-32,1960-91,7th Floor,Row T,,
AIBS Bulletin,10-13,1960-63,7th Floor,Row T,,
Aichi Journal of Experimental Medicine,v1,1923-24,4th Floor,Row V,,
AIDS,1-20,1987-2006,7th Floor,Row T,,
AIDS & Public Policy Journal (unbound placed on shelf),1-20,1986-2005,7th Floor,Row T,,
AIDS and Behavior,8-10,2004-2006,7th Floor,Row T,,
AIDS Clinical Care,2-10,1990-98,7th Floor,Row T,,
AIDS Clinical Review,N/A,1990-98,7th Floor,Row T,,
AIDS Education and Prevention (unbound placed on shelf),1-21,1989-2009,7th Floor,Row T,,
AIDS Hiv Record,,,7th Floor,,,"Two Shelves on Floor - North Wall, East End"
AIDS Patient Care,1-10,1987-96,7th Floor,Row T,,
AIDS Patient Care and STDS,14-19,5/1/2000,7th Floor,Row T,,
Aids Policy and Law,"2-5, 13-24","1987-90, 1998-2009",7th Floor,,,"Two Shelves on Floor - North Wall, East End"
AIDS Policy and Law (bound),13-18,1998-2003,7th Floor,Row T,,
AIDS Research,1-2,1983-86,7th Floor,Row T,,
AIDS Research and Human Retroviruses,3-22,1987-2006,7th Floor,Row T,,
AIDS/STD Health Promotion Exchange,1-4 each year,1996-97,7th Floor,Row T,,
AIN Shams Medical Journal,20-30,1969-79,7th Floor,Row T,,
AIR (Archives of Interamerican Rheumatology),1-8,1958-65,7th Floor,Row K,,
Air and Water Pollution,5-10,1961-66,7th Floor,Row T,,
Air Medical Service,,1920-26,4th Floor,Row V,,
Air Surgeons Bulletin,v1-2,1944-45,4th Floor,Row V,,
Aisa Pacific Journal of Public Health  (unbound placed on shelf),1-21,1987-2009,7th Floor,Row J,,
Akademaike Iatrike,18-20,1954-56,7th Floor,Row T,,
Aktualnye Voprosy Patologii Pecheni,"1,3","19,621,965",7th Floor,Row T,,
Aktualnye Voprosy Sorremennory Biokhimii,2,1962,7th Floor,Row T,,
Aktuelle Oto-Rhino-Laryngologie,1-10,1969-88,7th Floor,Row T,,
Aktuelle Probleme der Dermatologie,1,1959,7th Floor,Row T,,
Aktuelle Probleme der Phoniatrie und Logopaedie,1-3,5/1/1960,7th Floor,Row T,,
Aktuelle Probleme in Chirurgie und Orthopaedie,31-39,1987-90,7th Floor,Row T,,
Akuscherstvo I Ginekologia,,1936-49,4th Floor,Row V,,
Akusherstvo I Ginekologiia,Not clear,1950-90,7th Floor,Row T,,
Alabama Dental AssociationXXXXXXX,,1929-34,4th Floor,Row V,,
Alabama Journal of Medical Sciences,1-11,1964-74,7th Floor,Row T,,
Alabama Medical and Surgical Age,v1-12,1888-1900,4th Floor,Row V,,
Alabama Medical and Surgical Journal,v1-2,1886-87,4th Floor,Row V,,
Alabama Medical Journal,v13-24,1900-1911,4th Floor,Row V,,
Alam Attib (World of Medicine),3-18,1953-56,7th Floor,Row T,,
"Alamanaque de la salud, Buenos Aires",,1948,4th Floor,Row W,,
Alamanaque de saude,,1929-30,4th Floor,Row W,,
Alaska Medicine,1-40,1959-1998,7th Floor,Row T,,
Albany Health Bulletin,v1-2,1943-44,4th Floor,Row V,,
Albany Medical Annals,v6-58,1885-1939,4th Floor,Row V,,
Alberta Medical Bulletin,v2-3,1944-45,4th Floor,Row V,,
Albrecht von Graefes Archiv fuer Klinische un Experimentelle,168-217,1965-81,7th Floor,Row T,,
Albrecht von Graefes Archiv fuer Ophthalmolgie,150-167,1950-64,7th Floor,Row T,,
Albrecht Von Graefe's Archiv fur Ophthalmologie,v17-154,1871-1954,4th Floor,Row W,,
Albrights Office Practitioner,v1-6,9/1/1904,4th Floor,Row W,,
Alcohol,3-9,1986-92,7th Floor,Row T,,
Alcohol and Alcohol Problems,50,1994,7th Floor,Row T,,
Alcohol and Alcoholism,18-40,1983-2005,7th Floor,Row T,,
Alcohol and Health Notes,Not clear,1972-74,7th Floor,Row T,,
Alcohol Health and Research World,1-3?,1973-76,7th Floor,Row T,,
Alcoholism Bulletin of the Research Council of Alcohol,v1-4,1944-48,4th Floor,Row W,,
Alcoholism Collected papers of the Shadel Sanitarium,v1,1948,4th Floor,Row W,,
Alcoholism: Clinical and Experimental Research,1-30,1977-2006,7th Floor,Row T,,
"Alergia, Buenos Aires",v2,1948-49,4th Floor,Row W,,
Alexander Blain Hospital Bulletin,v1-12,1942-53,4th Floor,Row W,,
Alexandria Medical Journal,4-5,,7th Floor,Row T,,
Alfred Published Quarterly Faith Hope Charity,,1925-41,4th Floor,Row W,,
Algemeen Verslag van het Onderwijs,,1920-22; 32,4th Floor,Row W,,
Algerie Medical,54-66,1950-62,7th Floor,Row T,,
Algerie Medicale,v35-52,1931-49,4th Floor,Row W,,
Alienist and Neurologist,v8-41,1887-1920,4th Floor,Row W,,
Alienist and Neurologist of America,,1917,4th Floor,Row W,,
Alkaloid,v1-2,1891-93,4th Floor,Row W,,
Alkaloidal Clinic,v1-12,1892-1905,4th Floor,Row W,,
Alkoholfrage,v1-34,1904-38,4th Floor,Row W,,
Alkoholfrage in Wohlgshrispflege und Sozialpolitik…,v1,1928-32,4th Floor,Row W,,
